depth_target	depth_actual	center	draft	ctx	rep	decode_tps	ttft_ms	predicted_n	vram_mib
16384	16488	off	off	20480	1	25.50133579237853	235.013	300	8159
16384	16488	off	off	20480	2	25.499756856833447	234.676	300	8159
16384	16488	off	off	20480	3	25.48688039390613	234.259	300	8159
16384	16488	off	on	20480	1	35.89531006765005	416.986	300	11049
16384	16488	off	on	20480	2	35.872851258201266	414.843	300	11049
16384	16488	off	on	20480	3	35.834218202824076	411.945	300	11049
16384	16488	on	off	20480	1	25.47486555192404	236.15	300	8161
16384	16488	on	off	20480	2	25.466449103129577	235.921	300	8161
16384	16488	on	off	20480	3	25.47268659232788	235.055	300	8161
16384	16488	on	on	20480	1	35.05968471611153	416.65	300	11051
16384	16488	on	on	20480	2	35.04296513646891	416.169	300	11051
16384	16488	on	on	20480	3	35.0357710535397	418.924	300	11051
131072	131050	off	off	135168	1	6.785568434897293	296.874	300	10735
131072	131050	off	off	135168	2	6.784703873770924	294.277	300	10735
131072	131050	off	off	135168	3	6.782810154089114	296.95	300	10735
131072	131050	off	on	135168	1	10.175464830717871	1667.416	300	14969
131072	131050	off	on	135168	2	10.180607033165115	1667.157	300	14969
131072	131050	off	on	135168	3	10.17965178849843	1666.236	300	14969
131072	131050	on	off	135168	1	6.785846095830399	293.597	300	10737
131072	131050	on	off	135168	2	6.784692327250445	293.625	300	10737
131072	131050	on	off	135168	3	6.784664923665826	294.659	300	10737
131072	131050	on	on	135168	1	10.177920950981363	1684.873	300	14971
131072	131050	on	on	135168	2	10.1811412303395	1687.572	300	14971
131072	131050	on	on	135168	3	10.17738050972406	1687.867	300	14971
