0.00.196.140 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.196.607 W srv  llama_server: -----------------
0.00.196.610 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.196.610 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.196.610 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.196.611 W srv  llama_server: -----------------
0.00.197.929 I srv    load_model: loading model '/models/Ternary-Bonsai-27B-Q2_g64.gguf'
0.04.171.597 I cmn          init: llama threadpool init, n_threads = 4
0.04.360.732 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 135168, kv_unified = 'false'
0.04.366.615 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.366.652 I srv  llama_server: model loaded
0.04.366.657 I srv  llama_server: listening on http://0.0.0.0:8080
0.04.366.659 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.366.659 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.06.442.425 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.442.595 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.263.677 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.03, t =   3.82 s / 1071.96 tokens per second
0.12.294.093 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.05, t =   5.85 s / 1049.99 tokens per second
0.14.365.913 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.06, t =   7.92 s / 1033.91 tokens per second
0.16.482.116 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.08, t =  10.04 s / 1019.97 tokens per second
0.18.646.893 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.09, t =  12.20 s / 1006.86 tokens per second
0.20.857.518 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.11, t =  14.41 s / 994.53 tokens per second
0.23.113.333 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.12, t =  16.67 s / 982.80 tokens per second
0.25.414.437 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.14, t =  18.97 s / 971.55 tokens per second
0.27.760.905 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.16, t =  21.32 s / 960.68 tokens per second
0.30.153.132 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.17, t =  23.71 s / 950.13 tokens per second
0.32.590.929 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.19, t =  26.15 s / 939.87 tokens per second
0.35.075.391 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.20, t =  28.63 s / 929.84 tokens per second
0.37.605.210 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.22, t =  31.16 s / 920.08 tokens per second
0.40.182.002 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.23, t =  33.74 s / 910.51 tokens per second
0.42.804.842 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.25, t =  36.36 s / 901.16 tokens per second
