0.00.251.085 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.251.553 W srv  llama_server: -----------------
0.00.251.555 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.251.556 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.251.556 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.251.556 W srv  llama_server: -----------------
0.00.252.899 I srv    load_model: loading model '/models/Ternary-Bonsai-27B-Q2_g64.gguf'
0.02.217.238 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.02.310.229 W operator(): failed to measure the memory of the extra model, fitting without it: failed to create llama_context from model
0.04.905.300 I cmn          init: llama threadpool init, n_threads = 4
0.05.035.646 I common_speculative_init_result: loading draft model '/models/dflash-slim-Q4_0.gguf'
0.05.799.664 W llama_context: n_ctx_seq (135168) > n_ctx_train (4096) -- possible training context overflow
0.05.919.421 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 135168, kv_unified = 'false'
0.05.919.464 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dspark'
0.05.919.468 I common_speculative_impl_draft_dflash: - n_max=7, n_min=0, p_min=0.00
0.05.919.470 I common_speculative_impl_draft_dflash: - block_size=4, mask_token_id=248319, n_extract=5, sample_from_anchor=true, lineage=dspark
0.05.919.470 W common_speculative_impl_draft_dflash: requested draft size (n_max=7, n_min=0) exceeds the trained block size 4 -- clamping to 4
0.06.029.973 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.030.013 I srv  llama_server: model loaded
0.06.030.018 I srv  llama_server: listening on http://0.0.0.0:8080
0.06.030.019 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.06.030.019 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.10.986.322 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.986.492 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.16.645.470 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.03, t =   5.23 s / 783.23 tokens per second
0.19.019.845 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.05, t =   7.60 s / 808.23 tokens per second
0.21.433.630 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.06, t =  10.01 s / 818.44 tokens per second
0.23.896.378 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.08, t =  12.47 s / 821.26 tokens per second
0.26.406.721 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.09, t =  14.98 s / 820.55 tokens per second
0.28.962.896 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.11, t =  17.53 s / 817.95 tokens per second
0.31.565.315 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.12, t =  20.12 s / 814.20 tokens per second
0.34.211.969 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.14, t =  22.77 s / 809.58 tokens per second
0.36.906.003 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.16, t =  25.46 s / 804.52 tokens per second
0.39.644.798 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.17, t =  28.19 s / 799.08 tokens per second
0.42.424.872 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.19, t =  30.97 s / 793.56 tokens per second
0.45.252.197 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.20, t =  33.79 s / 787.90 tokens per second
0.48.124.195 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.22, t =  36.66 s / 782.12 tokens per second
