0.00.192.048 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.192.515 W srv  llama_server: -----------------
0.00.192.517 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.192.517 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.192.517 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.192.518 W srv  llama_server: -----------------
0.00.193.846 I srv    load_model: loading model '/models/Ternary-Bonsai-27B-Q2_g64.gguf'
0.04.124.411 I cmn          init: llama threadpool init, n_threads = 4
0.04.308.192 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 135168, kv_unified = 'false'
0.04.314.045 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.314.080 I srv  llama_server: model loaded
0.04.314.084 I srv  llama_server: listening on http://0.0.0.0:8080
0.04.314.085 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.314.085 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.05.939.378 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.939.564 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.773.559 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.03, t =   3.83 s / 1068.35 tokens per second
0.11.805.051 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.05, t =   5.87 s / 1047.49 tokens per second
0.13.877.184 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.06, t =   7.94 s / 1032.05 tokens per second
0.15.994.397 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.08, t =  10.05 s / 1018.42 tokens per second
0.18.160.063 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.09, t =  12.22 s / 1005.53 tokens per second
0.20.372.011 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.11, t =  14.43 s / 993.32 tokens per second
0.22.628.870 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.12, t =  16.69 s / 981.71 tokens per second
0.24.931.163 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.14, t =  18.99 s / 970.54 tokens per second
0.27.279.965 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.16, t =  21.34 s / 959.68 tokens per second
0.29.674.908 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.17, t =  23.74 s / 949.13 tokens per second
0.32.114.930 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.19, t =  26.18 s / 938.90 tokens per second
0.34.601.702 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.20, t =  28.66 s / 928.89 tokens per second
0.37.135.154 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.22, t =  31.20 s / 919.11 tokens per second
