depth_target	depth_actual	center	draft	ctx	rep	decode_tps	ttft_ms	predicted_n	vram_mib
0	0	off	off	8192	1	42.11093230787345	216.567	300	7893
0	0	off	off	8192	2	42.102441012227175	225.464	300	7893
0	0	off	off	8192	3	42.10630673613597	226.527	300	7893
0	0	off	on	8192	1	77.9894883733062	223.752	300	10629
0	0	off	on	8192	2	77.88338486921192	230.081	300	10629
0	0	off	on	8192	3	77.77354372941049	229.219	300	10629
0	0	on	off	8192	1	42.10420777342247	219.786	300	7895
0	0	on	off	8192	2	42.077348862455054	229.069	300	7895
0	0	on	off	8192	3	42.10204973617927	226.524	300	7895
0	0	on	on	8192	1	78.1532210889279	223.328	300	10631
0	0	on	on	8192	2	78.06162795828115	227.602	300	10631
0	0	on	on	8192	3	77.87111315063399	229.523	300	10631
8192	8208	off	off	12288	1	32.027853735326104	230.332	300	7975
8192	8208	off	off	12288	2	32.023631083485824	231.065	300	7975
8192	8208	off	off	12288	3	31.995794960673	230.473	300	7975
8192	8208	off	on	12288	1	65.41085124456724	322.181	300	10769
8192	8208	off	on	12288	2	65.37944238551437	317.782	300	10769
8192	8208	off	on	12288	3	65.16550621938283	317.31	300	10769
8192	8208	on	off	12288	1	31.94725006832865	232.816	300	7977
8192	8208	on	off	12288	2	31.897480856444158	231.967	300	7977
8192	8208	on	off	12288	3	31.965071477748463	231.255	300	7977
8192	8208	on	on	12288	1	64.60766294419929	320.253	300	10771
8192	8208	on	on	12288	2	64.53379941556983	318.967	300	10771
8192	8208	on	on	12288	3	64.68156981953626	318.459	300	10771
32768	32918	off	off	36864	1	18.2542078543766	244.284	300	8527
32768	32918	off	off	36864	2	18.24605271974197	244.877	300	8527
32768	32918	off	off	36864	3	18.246625045647075	245.16	300	8527
32768	32918	off	on	36864	1	18.32436603822058	592.455	300	11609
32768	32918	off	on	36864	2	18.320357740829067	597.332	300	11609
32768	32918	off	on	36864	3	18.300036753083848	604.397	300	11609
32768	32918	on	off	36864	1	18.19337476392727	244.196	300	8529
32768	32918	on	off	36864	2	18.22042953779036	244.186	300	8529
32768	32918	on	off	36864	3	18.222393895997786	245.168	300	8529
32768	32918	on	on	36864	1	18.369951281537567	589.958	300	11611
32768	32918	on	on	36864	2	18.362855051790316	593.415	300	11611
32768	32918	on	on	36864	3	18.356224076821594	596.385	300	11611
131072	131050	off	off	135168	1	6.775277921787053	292.576	300	10735
131072	131050	off	off	135168	2	6.778342926842229	292.172	300	10735
131072	131050	off	off	135168	3	6.777759356175425	291.651	300	10735
131072	131050	off	on	135168	1	10.180763369300141	1677.268	300	14969
131072	131050	off	on	135168	2	10.179794925137312	1675.929	300	14969
131072	131050	off	on	135168	3	10.181772563514594	1686.403	300	14969
131072	131050	on	off	135168	1	6.784250817791518	291.855	300	10737
131072	131050	on	off	135168	2	6.785739371552023	292.403	300	10737
131072	131050	on	off	135168	3	6.785855952210145	291.944	300	10737
131072	131050	on	on	135168	1	10.169827963924932	1687.295	300	14971
131072	131050	on	on	135168	2	10.166477600784729	1691.967	300	14971
131072	131050	on	on	135168	3	10.169187735279378	1670.684	300	14971
262144	261329	off	off	266240	1	3.6921512446414724	366.291	300	13679
262144	261329	off	off	266240	2	3.691834408064606	366.009	300	13679
262144	261329	off	off	266240	3	3.6922457590883737	365.767	300	13679
262144		off	on	266240	LOAD_FAIL				
262144	261329	on	off	266240	1	3.7034997887209102	362.738	300	13681
262144	261329	on	off	266240	2	3.7028671758757143	366.523	300	13681
262144	261329	on	off	266240	3	3.7027374969885845	366.115	300	13681
262144		on	on	266240	LOAD_FAIL				
