depth_target	depth_actual	center	draft	ctx	rep	decode_tps	ttft_ms	predicted_n	vram_mib
0	0	off	off	8192	1	42.23324900808364	218.829	300	7893
0	0	off	off	8192	2	42.20718448153344	227.62	300	7893
0	0	off	off	8192	3	42.20226373507254	224.921	300	7893
0	0	off	on	8192	1	78.0669678815784	222.675	300	10629
0	0	off	on	8192	2	77.97112356389056	228.362	300	10629
0	0	off	on	8192	3	77.81762931064772	228.459	300	10629
0	0	on	off	8192	1	42.10464652233926	218.082	300	7895
0	0	on	off	8192	2	42.01968826169468	224.372	300	7895
0	0	on	off	8192	3	42.12603178838812	225.809	300	7895
0	0	on	on	8192	1	78.1452141936799	225.145	300	10631
0	0	on	on	8192	2	78.07614121075466	230.516	300	10631
0	0	on	on	8192	3	78.02031920487119	229.012	300	10631
8192	8190	off	off	12288	1	32.02951085580818	228.596	300	7975
8192	8190	off	off	12288	2	32.01221731820273	228.668	300	7975
8192	8190	off	off	12288	3	31.993696278812116	226.958	300	7975
8192	8190	off	on	12288	1	50.4588719691347	318.418	300	10769
8192	8190	off	on	12288	2	50.47867799212364	317.571	300	10769
8192	8190	off	on	12288	3	50.468240623119044	318.694	300	10769
8192	8190	on	off	12288	1	31.930021353602246	228.005	300	7977
8192	8190	on	off	12288	2	31.919444289947688	233.908	300	7977
8192	8190	on	off	12288	3	31.91975097042982	228.382	300	7977
8192	8190	on	on	12288	1	48.41262452285635	315.847	300	10771
8192	8190	on	on	12288	2	48.444509973250206	320.535	300	10771
8192	8190	on	on	12288	3	48.307391402479894	319.193	300	10771
32768	32716	off	off	36864	1	18.24805935855691	241.905	300	8527
32768	32716	off	off	36864	2	18.257102501357377	240.904	300	8527
32768	32716	off	off	36864	3	18.258550726620093	241.938	300	8527
32768	32716	off	on	36864	1	19.24450699660119	590.24	300	11609
32768	32716	off	on	36864	2	19.22747602465567	592.971	300	11609
32768	32716	off	on	36864	3	19.22807571720401	587.352	300	11609
32768	32716	on	off	36864	1	18.222624894153366	245.603	300	8529
32768	32716	on	off	36864	2	18.224325354065424	245.596	300	8529
32768	32716	on	off	36864	3	18.222225093356908	243.696	300	8529
32768	32716	on	on	36864	1	19.07828041779775	587.876	300	11611
32768	32716	on	on	36864	2	19.07428842059278	586.791	300	11611
32768	32716	on	on	36864	3	19.08254932136966	588.199	300	11611
131072	131119	off	off	135168	1	6.783905562952306	295.157	300	10735
131072	131119	off	off	135168	2	6.784120746639909	295.739	300	10735
131072	131119	off	off	135168	3	6.783119288865941	296.263	300	10735
131072	131119	off	on	135168	1	11.408897757388454	1676.584	300	14969
131072	131119	off	on	135168	2	11.407873958788274	1684.093	300	14969
131072	131119	off	on	135168	3	11.409050994756683	1673.624	300	14969
131072	131119	on	off	135168	1	6.772383650958504	292.085	300	10737
131072	131119	on	off	135168	2	6.7722452912680415	292.204	300	10737
131072	131119	on	off	135168	3	6.773453445012403	291.968	300	10737
131072	131119	on	on	135168	1	11.423576274722109	1680.703	300	14971
131072	131119	on	on	135168	2	11.429655307207536	1676.845	300	14971
131072	131119	on	on	135168	3	11.430425636938486	1677.85	300	14971
262144	262197	off	off	266240	1	0	0	0	13679
262144	262197	off	off	266240	2	0	0	0	13679
262144	262197	off	off	266240	3	0	0	0	13679
262144		off	on	266240	LOAD_FAIL				
262144	262197	on	off	266240	1	0	0	0	13681
262144	262197	on	off	266240	2	0	0	0	13681
262144	262197	on	off	266240	3	0	0	0	13681
262144		on	on	266240	LOAD_FAIL				
